BugId,Link,Title,Type,concurrencyBugs,configBugs,optimBugs,perfBugs,errorBugs,hangBugs
CASSANDRA-15293,https://issues.apache.org/jira/browse/CASSANDRA-15293?jql=id%3DCASSANDRA-15293,Static columns not include in mutation size calculation,[],0,0,0,0,0,0
CASSANDRA-15292,https://issues.apache.org/jira/browse/CASSANDRA-15292?jql=id%3DCASSANDRA-15292,Point-in-time recovery ignoring timestamp of static column updates,[],0,0,0,0,0,0
CASSANDRA-15289,https://issues.apache.org/jira/browse/CASSANDRA-15289?jql=id%3DCASSANDRA-15289,bad merge reverted CASSANDRA-14993,[],0,0,0,0,0,0
CASSANDRA-15287,https://issues.apache.org/jira/browse/CASSANDRA-15287?jql=id%3DCASSANDRA-15287,Inaccurate exception message with nodetool snapshot ,[],0,0,0,0,0,0
CASSANDRA-15284,https://issues.apache.org/jira/browse/CASSANDRA-15284?jql=id%3DCASSANDRA-15284,AssertionError while scrubbing sstable,[],0,0,0,0,0,0
CASSANDRA-15283,https://issues.apache.org/jira/browse/CASSANDRA-15283?jql=id%3DCASSANDRA-15283,nodetool statushandoff does not list max hint window,[],0,0,0,0,0,0
CASSANDRA-15282,https://issues.apache.org/jira/browse/CASSANDRA-15282?jql=id%3DCASSANDRA-15282,nodetool tablestats does not list bytes repaired/unrepaired,[],0,0,0,0,0,0
CASSANDRA-15281,https://issues.apache.org/jira/browse/CASSANDRA-15281?jql=id%3DCASSANDRA-15281,help for clearsnapshot needs to be updated to indicate requirement for --all,[],0,0,0,0,0,0
CASSANDRA-15280,https://issues.apache.org/jira/browse/CASSANDRA-15280?jql=id%3DCASSANDRA-15280,Update help for  nodetool tablehistograms,[],0,0,0,0,0,0
CASSANDRA-15279,https://issues.apache.org/jira/browse/CASSANDRA-15279?jql=id%3DCASSANDRA-15279,Remove overly conservative check breaking VirtualTable unit test,[],0,0,0,0,0,0
CASSANDRA-15278,https://issues.apache.org/jira/browse/CASSANDRA-15278?jql=id%3DCASSANDRA-15278,User's password for sstableloader tool is visible in ps command output.,[],0,0,0,0,0,0
CASSANDRA-15276,https://issues.apache.org/jira/browse/CASSANDRA-15276?jql=id%3DCASSANDRA-15276,SSTableLoader failes if loading large table,[],0,0,0,0,0,0
CASSANDRA-15275,https://issues.apache.org/jira/browse/CASSANDRA-15275?jql=id%3DCASSANDRA-15275,Repair failed due to data corruption in one of the production table,[],0,0,0,0,0,0
CASSANDRA-15274,https://issues.apache.org/jira/browse/CASSANDRA-15274?jql=id%3DCASSANDRA-15274,Multiple Corrupt datafiles across entire environment ,[],0,0,0,0,0,0
CASSANDRA-15273,https://issues.apache.org/jira/browse/CASSANDRA-15273?jql=id%3DCASSANDRA-15273,cassandra does not start with new systemd version,[],0,0,0,0,0,0
CASSANDRA-15271,https://issues.apache.org/jira/browse/CASSANDRA-15271?jql=id%3DCASSANDRA-15271,"CASSANDRA-13426 changed the behavior of ""CLUSTERING ORDER"" on ""CREATE TABLE""",[],0,0,0,0,0,0
CASSANDRA-15270,https://issues.apache.org/jira/browse/CASSANDRA-15270?jql=id%3DCASSANDRA-15270,cassandra jdbc connection string from exasol,[],0,0,0,0,0,0
